team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Crystal Palace,4231.0,791.0,603.0,41.0,35.0,70.0,360.0,190.0,2.0,4.0,2.0,8.0,15.0,11.0,269.0,7.0
Crystal Palace,433.0,625.0,393.0,43.0,37.0,60.0,238.0,156.0,7.0,12.0,2.0,13.0,18.0,8.0,177.0,13.0
Crystal Palace,433.0,506.0,294.0,31.0,14.0,41.0,184.0,79.0,6.0,3.0,3.0,18.0,19.0,19.0,120.0,9.0
Crystal Palace,3421.0,962.0,782.0,54.0,33.0,62.0,451.0,219.0,4.0,19.0,2.0,20.0,22.0,9.0,356.0,12.0
Crystal Palace,4141.0,614.0,397.0,33.0,44.0,70.0,273.0,127.0,4.0,8.0,1.0,19.0,20.0,8.0,145.0,15.0
Crystal Palace,442.0,544.0,353.0,33.0,19.0,48.0,174.0,82.0,3.0,5.0,1.0,19.0,18.0,9.0,192.0,4.0
Crystal Palace,4231.0,737.0,540.0,56.0,27.0,66.0,309.0,138.0,8.0,8.0,1.0,18.0,22.0,4.0,251.0,14.0
Crystal Palace,442.0,636.0,427.0,40.0,38.0,48.0,279.0,153.0,5.0,8.0,3.0,16.0,14.0,5.0,179.0,15.0
Crystal Palace,3421.0,730.0,560.0,45.0,22.0,38.0,270.0,100.0,2.0,4.0,1.0,25.0,11.0,6.0,315.0,10.0
Crystal Palace,442.0,723.0,536.0,48.0,36.0,66.0,322.0,157.0,4.0,2.0,2.0,17.0,24.0,14.0,232.0,9.0
Crystal Palace,352.0,734.0,510.0,38.0,23.0,69.0,263.0,146.0,3.0,4.0,3.0,22.0,23.0,18.0,267.0,18.0
Crystal Palace,442.0,496.0,296.0,24.0,16.0,59.0,172.0,79.0,8.0,4.0,3.0,18.0,19.0,14.0,137.0,10.0
Crystal Palace,442.0,555.0,397.0,39.0,16.0,47.0,221.0,105.0,1.0,4.0,7.0,10.0,16.0,9.0,188.0,5.0
Crystal Palace,4231.0,638.0,457.0,37.0,36.0,59.0,317.0,156.0,7.0,7.0,4.0,20.0,12.0,4.0,159.0,11.0
Crystal Palace,442.0,701.0,503.0,43.0,36.0,60.0,287.0,140.0,4.0,8.0,0.0,15.0,12.0,9.0,242.0,9.0
Crystal Palace,442.0,539.0,332.0,31.0,16.0,57.0,201.0,115.0,3.0,7.0,1.0,15.0,16.0,13.0,141.0,9.0
Crystal Palace,3421.0,746.0,544.0,38.0,31.0,78.0,318.0,167.0,8.0,12.0,2.0,15.0,19.0,7.0,243.0,13.0
Crystal Palace,442.0,579.0,370.0,34.0,32.0,51.0,250.0,123.0,3.0,5.0,1.0,26.0,23.0,16.0,146.0,16.0
