team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Manchester United,3421.0,599.0,410.0,20.0,14.0,32.0,124.0,68.0,3.0,5.0,1.0,25.0,13.0,18.0,295.0,15.0
Manchester United,433.0,656.0,454.0,37.0,24.0,50.0,250.0,130.0,3.0,14.0,1.0,16.0,16.0,12.0,213.0,12.0
Manchester United,442.0,650.0,491.0,35.0,28.0,59.0,302.0,149.0,8.0,4.0,3.0,17.0,16.0,13.0,205.0,12.0
Manchester United,4411.0,425.0,266.0,28.0,22.0,47.0,177.0,109.0,4.0,6.0,4.0,15.0,9.0,12.0,102.0,12.0
Manchester United,3412.0,631.0,436.0,35.0,25.0,44.0,222.0,97.0,6.0,5.0,2.0,20.0,23.0,19.0,232.0,7.0
Manchester United,3142.0,595.0,411.0,38.0,23.0,57.0,228.0,119.0,1.0,6.0,2.0,13.0,9.0,10.0,202.0,2.0
Manchester United,4312.0,434.0,270.0,16.0,19.0,46.0,169.0,92.0,7.0,3.0,1.0,16.0,20.0,7.0,114.0,11.0
Manchester United,4312.0,573.0,397.0,39.0,22.0,41.0,152.0,76.0,1.0,5.0,4.0,16.0,24.0,10.0,260.0,10.0
Manchester United,442.0,385.0,215.0,16.0,7.0,23.0,87.0,29.0,2.0,1.0,2.0,20.0,10.0,13.0,132.0,6.0
Manchester United,352.0,435.0,257.0,15.0,13.0,42.0,162.0,85.0,6.0,5.0,5.0,15.0,16.0,16.0,102.0,12.0
Manchester United,4231.0,625.0,417.0,35.0,34.0,54.0,268.0,142.0,3.0,12.0,1.0,18.0,19.0,11.0,176.0,10.0
Manchester United,3412.0,607.0,439.0,34.0,12.0,42.0,213.0,102.0,2.0,7.0,2.0,16.0,17.0,11.0,237.0,7.0
Manchester United,4141.0,694.0,478.0,32.0,46.0,58.0,266.0,137.0,3.0,14.0,4.0,16.0,25.0,13.0,247.0,6.0
