team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Newcastle United,343.0,622.0,462.0,30.0,25.0,52.0,338.0,175.0,5.0,6.0,4.0,17.0,14.0,4.0,145.0,7.0
Newcastle United,532.0,353.0,195.0,22.0,18.0,21.0,100.0,41.0,1.0,10.0,1.0,13.0,11.0,7.0,106.0,11.0
Newcastle United,4231.0,787.0,641.0,42.0,23.0,90.0,435.0,240.0,7.0,12.0,1.0,6.0,6.0,9.0,223.0,9.0
Newcastle United,532.0,466.0,272.0,21.0,13.0,27.0,115.0,51.0,9.0,7.0,2.0,16.0,17.0,11.0,166.0,9.0
Newcastle United,442.0,714.0,521.0,41.0,27.0,52.0,279.0,104.0,4.0,7.0,3.0,14.0,14.0,14.0,256.0,14.0
Newcastle United,433.0,635.0,411.0,30.0,23.0,50.0,271.0,132.0,8.0,7.0,4.0,16.0,20.0,11.0,159.0,10.0
Newcastle United,3421.0,600.0,423.0,31.0,21.0,32.0,251.0,123.0,7.0,7.0,2.0,14.0,8.0,6.0,193.0,13.0
Newcastle United,442.0,788.0,610.0,43.0,42.0,72.0,414.0,203.0,4.0,10.0,5.0,17.0,21.0,11.0,226.0,14.0
Newcastle United,442.0,570.0,397.0,37.0,16.0,41.0,239.0,111.0,3.0,3.0,2.0,14.0,17.0,11.0,166.0,11.0
Newcastle United,4411.0,515.0,313.0,20.0,32.0,54.0,205.0,93.0,13.0,9.0,1.0,11.0,16.0,6.0,134.0,10.0
Newcastle United,541.0,557.0,371.0,33.0,21.0,62.0,216.0,103.0,3.0,5.0,3.0,16.0,18.0,15.0,174.0,10.0
Newcastle United,541.0,443.0,241.0,25.0,24.0,47.0,167.0,78.0,3.0,5.0,2.0,19.0,17.0,14.0,92.0,9.0
Newcastle United,3421.0,649.0,480.0,44.0,34.0,62.0,267.0,123.0,5.0,6.0,1.0,7.0,16.0,12.0,235.0,17.0
Newcastle United,352.0,660.0,484.0,52.0,34.0,69.0,324.0,145.0,9.0,4.0,2.0,18.0,12.0,5.0,184.0,12.0
Newcastle United,433.0,909.0,746.0,63.0,28.0,67.0,450.0,185.0,5.0,9.0,2.0,13.0,7.0,9.0,311.0,12.0
Newcastle United,532.0,557.0,369.0,34.0,15.0,23.0,175.0,65.0,4.0,7.0,1.0,13.0,18.0,5.0,205.0,9.0
Newcastle United,4141.0,562.0,358.0,33.0,14.0,48.0,167.0,68.0,4.0,3.0,2.0,18.0,20.0,17.0,201.0,9.0
Newcastle United,442.0,606.0,416.0,40.0,18.0,41.0,229.0,101.0,4.0,6.0,4.0,5.0,14.0,5.0,202.0,13.0
Newcastle United,343.0,598.0,444.0,33.0,21.0,55.0,235.0,117.0,7.0,6.0,2.0,8.0,12.0,11.0,218.0,15.0
Newcastle United,532.0,517.0,333.0,29.0,19.0,33.0,139.0,65.0,5.0,5.0,0.0,13.0,11.0,10.0,205.0,6.0
Newcastle United,3412.0,799.0,596.0,38.0,47.0,93.0,443.0,176.0,8.0,17.0,2.0,13.0,13.0,12.0,185.0,12.0
Newcastle United,442.0,979.0,793.0,60.0,38.0,84.0,513.0,234.0,9.0,13.0,1.0,21.0,19.0,8.0,297.0,9.0
Newcastle United,442.0,645.0,445.0,48.0,58.0,90.0,363.0,176.0,0.0,17.0,0.0,12.0,16.0,10.0,127.0,11.0
Newcastle United,433.0,532.0,382.0,38.0,10.0,42.0,174.0,80.0,1.0,2.0,1.0,11.0,13.0,16.0,213.0,5.0
Newcastle United,4312.0,561.0,365.0,27.0,30.0,49.0,183.0,95.0,2.0,7.0,1.0,17.0,21.0,11.0,202.0,10.0
Newcastle United,4231.0,861.0,692.0,47.0,27.0,68.0,383.0,197.0,6.0,9.0,2.0,11.0,22.0,5.0,325.0,9.0
Newcastle United,433.0,482.0,289.0,23.0,23.0,40.0,183.0,95.0,3.0,7.0,0.0,16.0,20.0,8.0,122.0,13.0
Newcastle United,4312.0,499.0,301.0,28.0,42.0,47.0,228.0,120.0,4.0,9.0,0.0,14.0,19.0,10.0,103.0,6.0
Newcastle United,532.0,548.0,369.0,32.0,32.0,56.0,225.0,110.0,1.0,6.0,2.0,14.0,25.0,6.0,175.0,18.0
Newcastle United,442.0,464.0,323.0,30.0,17.0,37.0,172.0,79.0,1.0,3.0,1.0,11.0,13.0,3.0,161.0,8.0
Newcastle United,541.0,466.0,283.0,29.0,16.0,32.0,174.0,64.0,3.0,4.0,2.0,15.0,14.0,6.0,121.0,12.0
Newcastle United,343.0,1012.0,862.0,63.0,37.0,78.0,503.0,209.0,3.0,8.0,1.0,8.0,21.0,8.0,370.0,5.0
Newcastle United,4141.0,728.0,533.0,47.0,55.0,64.0,365.0,198.0,8.0,17.0,4.0,13.0,20.0,19.0,204.0,10.0
Newcastle United,442.0,555.0,375.0,46.0,18.0,53.0,236.0,91.0,7.0,7.0,0.0,24.0,10.0,12.0,156.0,10.0
Newcastle United,532.0,540.0,360.0,23.0,10.0,39.0,169.0,85.0,1.0,3.0,1.0,13.0,18.0,10.0,201.0,11.0
Newcastle United,532.0,567.0,400.0,29.0,17.0,35.0,164.0,69.0,3.0,2.0,0.0,23.0,17.0,7.0,252.0,10.0
Newcastle United,541.0,498.0,319.0,34.0,23.0,29.0,175.0,79.0,2.0,4.0,0.0,16.0,8.0,10.0,161.0,9.0
Newcastle United,4231.0,640.0,474.0,44.0,34.0,56.0,289.0,111.0,5.0,10.0,2.0,14.0,14.0,7.0,215.0,13.0
