team,formation_used,touches,total_pass,long_pass_own_to_opp_success,pen_area_entries,final_third_entries,total_fwd_zone_pass,total_final_third_passes,attempts_obox,attempts_ibox,total_offside,total_tackle,blocked_pass,interception,total_back_zone_pass,fk_foul_lost
Sheffield United,3421.0,552.0,361.0,28.0,35.0,66.0,229.0,130.0,4.0,8.0,2.0,19.0,11.0,5.0,152.0,11.0
Sheffield United,352.0,618.0,412.0,42.0,26.0,48.0,209.0,106.0,1.0,6.0,2.0,22.0,15.0,9.0,222.0,11.0
Sheffield United,3412.0,457.0,295.0,28.0,18.0,42.0,196.0,102.0,2.0,5.0,1.0,24.0,14.0,6.0,111.0,13.0
Sheffield United,4231.0,731.0,577.0,40.0,26.0,46.0,272.0,116.0,6.0,8.0,3.0,12.0,13.0,2.0,314.0,6.0
Sheffield United,352.0,589.0,393.0,39.0,35.0,65.0,256.0,144.0,4.0,4.0,2.0,16.0,17.0,9.0,158.0,17.0
Sheffield United,433.0,838.0,641.0,52.0,66.0,83.0,420.0,226.0,4.0,12.0,1.0,9.0,10.0,9.0,265.0,6.0
Sheffield United,352.0,579.0,406.0,28.0,26.0,66.0,255.0,142.0,3.0,5.0,3.0,11.0,21.0,11.0,170.0,9.0
Sheffield United,352.0,519.0,338.0,30.0,27.0,54.0,214.0,132.0,3.0,5.0,2.0,18.0,22.0,12.0,133.0,8.0
Sheffield United,352.0,800.0,593.0,44.0,42.0,80.0,377.0,208.0,5.0,9.0,3.0,20.0,12.0,10.0,243.0,11.0
Sheffield United,352.0,616.0,413.0,36.0,29.0,57.0,296.0,139.0,8.0,7.0,4.0,19.0,13.0,13.0,139.0,13.0
Sheffield United,352.0,755.0,559.0,42.0,42.0,66.0,396.0,232.0,4.0,13.0,2.0,11.0,14.0,8.0,187.0,13.0
Sheffield United,3421.0,612.0,420.0,34.0,24.0,76.0,271.0,133.0,1.0,9.0,2.0,18.0,27.0,11.0,164.0,11.0
Sheffield United,532.0,543.0,362.0,34.0,33.0,71.0,276.0,156.0,3.0,9.0,2.0,20.0,16.0,10.0,103.0,17.0
Sheffield United,532.0,469.0,273.0,21.0,27.0,41.0,189.0,100.0,1.0,3.0,4.0,16.0,19.0,9.0,106.0,13.0
Sheffield United,352.0,701.0,517.0,38.0,24.0,58.0,343.0,155.0,3.0,6.0,4.0,25.0,20.0,8.0,195.0,7.0
Sheffield United,532.0,537.0,375.0,29.0,22.0,49.0,238.0,128.0,1.0,2.0,2.0,19.0,17.0,9.0,153.0,14.0
Sheffield United,352.0,562.0,399.0,42.0,25.0,52.0,257.0,119.0,4.0,6.0,4.0,15.0,10.0,18.0,157.0,5.0
Sheffield United,352.0,545.0,327.0,27.0,28.0,43.0,218.0,102.0,5.0,9.0,2.0,23.0,22.0,7.0,124.0,18.0
Sheffield United,352.0,644.0,460.0,33.0,57.0,87.0,377.0,224.0,1.0,8.0,4.0,16.0,18.0,9.0,126.0,13.0
Sheffield United,532.0,678.0,487.0,40.0,21.0,32.0,206.0,81.0,8.0,8.0,2.0,8.0,14.0,6.0,296.0,7.0
Sheffield United,4231.0,824.0,635.0,44.0,45.0,69.0,324.0,144.0,4.0,12.0,0.0,21.0,15.0,8.0,337.0,8.0
Sheffield United,4231.0,890.0,715.0,49.0,29.0,50.0,325.0,147.0,10.0,10.0,0.0,11.0,12.0,8.0,405.0,8.0
