team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
Tottenham Hotspur,4231.0,570.0,367.0,33.0,26.0,63.0,226.0,143.0,5.0,15.0,2.0,3.0,18.0,20.0,11.0,150.0,13.0
Tottenham Hotspur,4231.0,765.0,584.0,49.0,37.0,52.0,294.0,149.0,9.0,15.0,3.0,2.0,11.0,18.0,7.0,310.0,8.0
Tottenham Hotspur,3412.0,514.0,356.0,17.0,21.0,37.0,187.0,96.0,3.0,5.0,1.0,3.0,13.0,13.0,8.0,188.0,9.0
Tottenham Hotspur,442.0,583.0,371.0,21.0,24.0,33.0,182.0,79.0,5.0,5.0,2.0,2.0,29.0,36.0,7.0,202.0,14.0
Tottenham Hotspur,433.0,643.0,439.0,34.0,23.0,54.0,216.0,111.0,3.0,9.0,1.0,3.0,21.0,29.0,11.0,241.0,11.0
Tottenham Hotspur,4231.0,887.0,690.0,51.0,23.0,61.0,343.0,141.0,3.0,9.0,1.0,1.0,27.0,19.0,19.0,360.0,8.0
Tottenham Hotspur,4231.0,815.0,633.0,40.0,22.0,48.0,240.0,107.0,7.0,9.0,0.0,0.0,12.0,18.0,9.0,403.0,6.0
Tottenham Hotspur,4141.0,492.0,303.0,21.0,17.0,49.0,162.0,73.0,4.0,4.0,2.0,4.0,24.0,17.0,5.0,152.0,12.0
Tottenham Hotspur,3412.0,804.0,630.0,49.0,36.0,58.0,356.0,184.0,4.0,12.0,3.0,3.0,10.0,24.0,13.0,293.0,14.0
Tottenham Hotspur,343.0,745.0,592.0,43.0,14.0,73.0,282.0,130.0,2.0,1.0,0.0,2.0,14.0,16.0,11.0,315.0,9.0
Tottenham Hotspur,352.0,664.0,467.0,41.0,25.0,44.0,265.0,113.0,5.0,10.0,2.0,2.0,13.0,19.0,13.0,222.0,15.0
Tottenham Hotspur,4231.0,561.0,347.0,34.0,17.0,53.0,218.0,111.0,6.0,14.0,5.0,1.0,24.0,17.0,11.0,137.0,15.0
Tottenham Hotspur,4231.0,710.0,518.0,51.0,40.0,67.0,304.0,157.0,3.0,5.0,5.0,2.0,20.0,8.0,8.0,237.0,15.0
Tottenham Hotspur,4231.0,826.0,632.0,51.0,65.0,63.0,453.0,214.0,5.0,6.0,8.0,1.0,15.0,11.0,5.0,223.0,12.0
Tottenham Hotspur,4231.0,493.0,318.0,24.0,11.0,39.0,143.0,68.0,3.0,1.0,5.0,1.0,25.0,12.0,8.0,177.0,13.0
Tottenham Hotspur,3511.0,673.0,503.0,36.0,32.0,55.0,278.0,119.0,1.0,5.0,1.0,4.0,13.0,14.0,7.0,242.0,13.0
Tottenham Hotspur,4231.0,707.0,511.0,42.0,16.0,46.0,249.0,96.0,6.0,5.0,2.0,1.0,25.0,23.0,7.0,274.0,13.0
Tottenham Hotspur,4231.0,818.0,640.0,49.0,30.0,72.0,453.0,194.0,8.0,15.0,3.0,1.0,10.0,8.0,8.0,207.0,15.0
Tottenham Hotspur,4231.0,730.0,552.0,46.0,34.0,65.0,345.0,143.0,1.0,8.0,2.0,1.0,9.0,17.0,4.0,231.0,15.0
