team1,formation_used1,touches1,total_pass1,long_pass_own_to_opp_success1,pen_area_entries1,final_third_entries1,total_fwd_zone_pass1,total_final_third_passes1,attempts_obox1,attempts_ibox1,fouled_final_third1,total_offside1,total_tackle1,blocked_pass1,interception1,total_back_zone_pass1,fk_foul_lost1
West Bromwich Albion,4411.0,558.0,357.0,31.0,41.0,61.0,262.0,147.0,8.0,6.0,3.0,2.0,10.0,16.0,12.0,119.0,8.0
West Bromwich Albion,4411.0,399.0,200.0,31.0,24.0,53.0,163.0,78.0,2.0,7.0,3.0,3.0,16.0,11.0,17.0,59.0,7.0
West Bromwich Albion,3511.0,547.0,339.0,37.0,28.0,67.0,216.0,116.0,4.0,6.0,2.0,1.0,21.0,12.0,10.0,143.0,17.0
West Bromwich Albion,442.0,634.0,442.0,32.0,33.0,62.0,291.0,158.0,6.0,8.0,4.0,2.0,14.0,12.0,17.0,174.0,11.0
West Bromwich Albion,4141.0,619.0,396.0,22.0,54.0,62.0,302.0,192.0,5.0,8.0,1.0,1.0,11.0,18.0,11.0,130.0,11.0
West Bromwich Albion,4141.0,670.0,450.0,35.0,34.0,71.0,267.0,151.0,4.0,7.0,2.0,3.0,9.0,19.0,15.0,208.0,9.0
West Bromwich Albion,4231.0,738.0,553.0,39.0,38.0,65.0,306.0,160.0,5.0,10.0,5.0,1.0,21.0,16.0,9.0,264.0,13.0
West Bromwich Albion,4141.0,432.0,253.0,22.0,22.0,46.0,164.0,74.0,1.0,6.0,1.0,2.0,14.0,23.0,12.0,104.0,13.0
West Bromwich Albion,343.0,742.0,574.0,41.0,28.0,61.0,306.0,135.0,4.0,8.0,3.0,1.0,8.0,14.0,6.0,286.0,10.0
West Bromwich Albion,4411.0,391.0,247.0,19.0,16.0,37.0,132.0,70.0,6.0,4.0,1.0,1.0,13.0,6.0,14.0,125.0,8.0
West Bromwich Albion,4231.0,817.0,623.0,42.0,34.0,54.0,299.0,159.0,4.0,17.0,2.0,2.0,14.0,18.0,16.0,345.0,4.0
West Bromwich Albion,4141.0,402.0,238.0,18.0,27.0,53.0,149.0,88.0,2.0,2.0,2.0,1.0,10.0,12.0,11.0,106.0,7.0
West Bromwich Albion,4231.0,763.0,576.0,50.0,36.0,84.0,410.0,211.0,8.0,11.0,6.0,4.0,11.0,16.0,10.0,193.0,8.0
West Bromwich Albion,3412.0,663.0,495.0,49.0,22.0,31.0,264.0,95.0,2.0,7.0,2.0,2.0,15.0,19.0,4.0,245.0,10.0
West Bromwich Albion,352.0,599.0,402.0,35.0,29.0,58.0,289.0,148.0,3.0,18.0,4.0,2.0,14.0,7.0,7.0,136.0,9.0
West Bromwich Albion,532.0,546.0,340.0,28.0,38.0,50.0,253.0,120.0,5.0,7.0,3.0,1.0,19.0,16.0,11.0,117.0,17.0
West Bromwich Albion,4141.0,674.0,477.0,41.0,26.0,68.0,274.0,131.0,5.0,8.0,3.0,2.0,14.0,19.0,6.0,224.0,15.0
West Bromwich Albion,4231.0,983.0,797.0,61.0,43.0,77.0,500.0,221.0,12.0,10.0,2.0,1.0,12.0,20.0,9.0,334.0,16.0
West Bromwich Albion,541.0,487.0,336.0,35.0,12.0,52.0,184.0,95.0,4.0,3.0,1.0,4.0,7.0,12.0,10.0,161.0,12.0
